Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Donny van de Beek,2016/2017 - Ajax,Dutch Eredivisie,€,47.5,Manchester United FC,Netherlands,"23,83",CM,19,540,,2,3.166666666666667,19,"36,8%",,3,,270,270,0.8333333333333333,,1.3333333333333335,,,
Donny van de Beek,2016/2017 - Ajax,UEFA Europa League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,10,546,,1,2.142857142857143,13,"38,5%",,,,546,546,0.32967032967032966,,0.6593406593406593,,,
Donyell Malen,2017/2018 - PSV,Dutch Eredivisie,€,37.7,PSV Eindhoven,Netherlands,"22,07",FW,4,107,,,4.205607476635514,5,"40,0%",,,,,,5.046728971962617,0.8411214953271028,1.6822429906542056,,,
Donyell Malen,2018/2019 - PSV,UEFA Champions League,€,37.7,PSV Eindhoven,Netherlands,"22,07",FW,6,172,,,2.6162790697674416,5,"60,0%",,1,,,,1.0465116279069768,0.5232558139534884,3.13953488372093,,,
Dusan Tadic,2016/2017 - Southampton,UEFA Europa League,€,21.7,AFC Ajax,Serbia,"32,24",LW,5,306,,1,2.3529411764705883,8,"50,0%",,1,,306,306,2.3529411764705883,,0.29411764705882354,,1,
Ederson,2016/2017 - Benfica,Portuguese Primeira Liga,€,61.9,Manchester City FC,Brazil,"27,50",GK,27,2381,,1,,0,,,,,2381,2381,,,0.1511969760604788,,,
Ederson,2016/2017 - Benfica,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,7,630,,,,0,,,,,,,,,0.2857142857142857,,,
Ederson,2017/2018 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,36,3195,,,,0,,,,,,,0.02816901408450704,,0.16901408450704225,,,
Ederson,2017/2018 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,9,810,,,,0,,,,,,,,,,,,
Ederson,2018/2019 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,38,3420,,1,,0,,,,,3420,3420,0.02631578947368421,,0.07894736842105263,,,
Ederson,2018/2019 - Manchester City,UEFA Champions League,€,61.9,Manchester City FC,Brazil,"27,50",GK,10,900,,1,,0,,,,,900,900,,,0.1,,,
Ederson,2019/2020 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,35,3072,,,,0,,,,,,,,,0.05859375,,,
Edmond Tapsoba,2018/2019 - Vitória Guimarães,Portuguese Primeira Liga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,0,,,,,0,,,,,,,,,,,,
Edmond Tapsoba,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,14,1057,,,0.2554399243140965,3,,,,,,,0.510879848628193,,0.2554399243140965,,,
