Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Ángel Correa,2019/2020 - Atlético de Madrid,Spanish La Liga,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,33,2065,5,6,1.87409200968523,43,"37,2%","11,6%",7,413,344,188,1.6125907990314772,0.3922518159806295,1.7869249394673123,,,
Bruno Fernandes,2016/2017 - Sampdoria,Italian Serie A,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,1721,5,2,3.242300987797792,62,"30,6%","8,1%",6,344,861,246,1.2027890761185358,0.1568855316676351,2.0918070889018012,,,
Bruno Fernandes,2019/2020 - Sporting CP,UEFA Europa League,€,107.4,Manchester United FC,Portugal,"26,44",AM,5,449,5,3,4.810690423162583,24,"54,2%","20,8%",1,90,150,56,2.2048997772828507,0.20044543429844097,1.6035634743875278,2,0,"100,0%"
Calvin Stengs,2019/2020 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,25,2158,5,7,2.5857275254865613,62,"30,6%","8,1%",2,432,308,180,2.4606116774791476,0.08341056533827618,0.8341056533827618,,,
Casemiro,2017/2018 - Real Madrid,Spanish La Liga,€,71.8,Real Madrid CF,Brazil,"28,98",DM,30,2601,5,3,1.1072664359861593,32,"37,5%","15,6%",2,520,867,325,0.3806228373702422,0.06920415224913495,2.491349480968858,,,
Christopher Nkunku,2019/2020 - RB Leipzig,German Bundesliga,€,41.2,RB Leipzig,France,"23,25",AM,32,1926,5,13,2.4299065420560746,52,"48,1%","9,6%",9,385,148,107,2.570093457943925,0.2803738317757009,1.869158878504673,,,
Ciro Immobile,2020/2021 - Lazio,UEFA Champions League,€,51.6,SS Lazio,Italy,"30,99",FW,4,326,5,1,3.588957055214724,13,"61,5%","38,5%",1,65,326,54,1.1042944785276074,0.5521472392638037,2.208588957055215,3,0,"100,0%"
Darwin Núñez,2020/2021 - Benfica,UEFA Europa League,€,22,SL Benfica,Uruguay,"21,64",FW,5,342,5,1,4.2105263157894735,16,"37,5%","31,3%",2,68,342,57,2.894736842105263,0.5263157894736842,0.2631578947368421,0,0,"0,0%"
Diogo Jota,2020/2021 - Liverpool,English Premier League,€,58.1,Liverpool FC,Portugal,"24,20",LW,9,501,5,0,3.592814371257485,20,"55,0%","25,0%",2,100,,100,1.6167664670658681,0,1.4371257485029938,0,0,"0,0%"
Donyell Malen,2020/2021 - PSV,UEFA Europa League,€,37.7,PSV Eindhoven,Netherlands,"22,07",FW,6,494,5,0,4.190283400809717,23,"47,8%","21,7%",2,99,,99,0.9109311740890689,0.5465587044534413,1.6396761133603237,0,0,"0,0%"
Fabián Ruiz,2018/2019 - Napoli,Italian Serie A,€,55,SSC Napoli,Spain,"24,87",CM,27,1990,5,4,2.306532663316583,51,"27,5%","9,8%",2,398,498,221,1.6281407035175879,0.09045226130653267,0.9949748743718594,,,
Franck Kessié,2017/2018 - Milan,Italian Serie A,€,41.9,AC Milan,Ivory Coast,"24,16",CM,37,3268,5,3,2.065483476132191,75,"30,7%","6,7%",3,654,1089,409,1.3494492044063648,0.11015911872705017,1.266829865361077,3,1,"75,0%"
Gabriel Barbosa,2016/2017 - Santos,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,11,911,5,1,3.0625686059275514,31,"48,4%","16,1%",,182,911,152,1.1855104281009878,1.2843029637760703,2.3710208562019757,,,
Gabriel Barbosa,2020/2021 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,11,827,5,0,3.808948004836759,35,"45,7%","14,3%",11,165,,165,1.1970979443772671,0.8706166868198306,1.414752116082225,2,0,"100,0%"
Hans Vanaken,2020/2021 - Club Brugge,Belgian Jupiler Pro League,€,16.6,Club Brugge,Belgium,"28,48",AM,15,1327,5,5,1.763376036171816,26,"30,8%","19,2%",3,265,265,133,0.8138658628485306,0,1.4242652599849284,2,0,"100,0%"
Harry Kane,2018/2019 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,9,777,5,1,3.706563706563706,32,"46,9%","15,6%",4,155,777,130,1.505791505791506,1.0424710424710424,2.5482625482625485,,,
Heung-min Son,2019/2020 - Tottenham Hotspur,UEFA Champions League,€,80.5,Tottenham Hotspur FC,South Korea,"28,60",LW,6,365,5,1,4.438356164383562,18,"61,1%","27,8%",4,73,365,61,3.2054794520547945,0.7397260273972602,0.9863013698630136,0,0,"0,0%"
Hirving Lozano,2020/2021 - Napoli,Italian Serie A,€,43.1,SSC Napoli,Mexico,"25,54",LW,9,639,5,1,2.676056338028169,19,"63,2%","26,3%",2,128,639,107,1.4084507042253522,0.5633802816901409,2.9577464788732395,0,0,"0,0%"
Ignacio Fernández,2019/2020 - River Plate,Argentina Superliga,€,8.3,River Plate,Argentina,"31,09",CM,18,1570,5,3,2.694267515923567,47,"34,0%","10,6%",5,314,523,196,2.5796178343949046,0.11464968152866241,3.038216560509554,2,1,"66,7%"
Ismaïla Sarr,2016/2017 - Metz,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,31,1939,5,1,1.2996389891696751,28,"39,3%","17,9%",2,388,1939,323,2.5064466219700874,0.18566271273852503,2.552862300154719,,,
Ismaïla Sarr,2017/2018 - Rennes,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,24,1864,5,3,1.9796137339055795,41,"36,6%","12,2%",5,373,621,233,3.041845493562232,0.9656652360515021,3.0901287553648067,,,
Ismaïla Sarr,2019/2020 - Watford,English Premier League,€,23.9,Watford FC,Senegal,"22,97",RW,28,2028,5,4,1.952662721893491,44,"29,5%","11,4%",6,406,507,225,2.0857988165680474,0.5769230769230769,2.0857988165680474,,,
Jack Grealish,2020/2021 - Aston Villa,English Premier League,€,71.2,Aston Villa FC,England,"25,43",AM,9,810,5,5,2.8888888888888893,26,"42,3%","19,2%",3,162,162,81,3.2222222222222223,0.2222222222222222,4.444444444444445,0,0,"0,0%"
João Félix,2020/2021 - Atlético de Madrid,Spanish La Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,10,647,5,2,2.921174652241113,21,"28,6%","23,8%",1,129,324,92,2.5038639876352398,0.41731066460587324,2.3647604327666154,1,1,"50,0%"
João Pedro,2020/2021 - Watford,English Football League - Championship,€,11.2,Watford FC,Brazil,"19,39",FW,16,1173,5,0,2.071611253196931,27,"44,4%","18,5%",1,235,,235,2.071611253196931,0.3836317135549872,1.0741687979539642,1,0,"100,0%"
Kalidou Koulibaly,2017/2018 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,35,3066,5,1,0.49902152641878667,17,"41,2%","29,4%",1,613,3066,511,0.32289628180039137,0.029354207436399216,0.26418786692759294,,,
Kylian Mbappé,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,10,652,5,5,4.141104294478527,30,"60,0%","16,7%",10,130,130,65,2.0705521472392636,0.6901840490797546,1.3803680981595092,0,0,"0,0%"
Lautaro Martínez,2019/2020 - Internazionale,UEFA Champions League,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,6,521,5,0,4.318618042226488,25,"52,0%","20,0%",2,104,,104,1.2092130518234165,1.2092130518234165,2.5911708253358925,0,1,"0,0%"
Lautaro Martínez,2020/2021 - Internazionale,Italian Serie A,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,10,644,5,1,4.192546583850931,30,"40,0%","16,7%",0,129,644,107,0.6987577639751553,0.4192546583850932,1.1180124223602483,0,0,"0,0%"
Leon Goretzka,2016/2017 - FC Schalke 04,German Bundesliga,€,59.3,FC Bayern München,Germany,"26,03",CM,30,2567,5,3,1.7880794701986755,51,"37,3%","9,8%",5,513,856,321,1.227113361901052,,1.89326061550448,,,
Leroy Sané,2016/2017 - Manchester City,English Premier League,€,75.8,FC Bayern München,Germany,"25,10",LW,26,1786,5,3,1.6629339305711086,33,"42,4%","15,2%",6,357,595,223,2.6707726763717807,0.604703247480403,0.8566629339305711,,,
Luca Waldschmidt,2020/2021 - Benfica,Portuguese Primeira Liga,€,19.8,SL Benfica,Germany,"24,74",FW,9,601,5,1,2.545757071547421,17,"47,1%","29,4%",5,120,601,100,1.1980033277870217,0.2995008319467554,1.1980033277870217,0,0,"0,0%"
Lukas Klostermann,2018/2019 - RB Leipzig,German Bundesliga,€,40,RB Leipzig,Germany,"24,70",CB,26,2001,5,1,0.5847076461769115,13,"46,2%","38,5%",1,400,2001,334,0.3148425787106447,0.04497751124437781,0.4947526236881559,,,
Marcus Rashford,2016/2017 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,32,1701,5,1,2.328042328042328,44,"38,6%","11,4%",4,340,1701,284,2.0634920634920633,0.582010582010582,1.693121693121693,,,
Mason Greenwood,2019/2020 - Manchester United,UEFA Europa League,€,57.6,Manchester United FC,England,"19,37",RW,9,639,5,1,3.380281690140845,24,"45,8%","20,8%",2,128,639,107,1.4084507042253522,0.8450704225352113,0.9859154929577465,0,0,"0,0%"
Mauro Icardi,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,41.5,Paris Saint-Germain FC,Argentina,"27,99",FW,7,480,5,0,2.25,12,"58,3%","41,7%",2,96,,96,0.1875,0.5625,1.5,0,0,"0,0%"
Mikel Merino,2019/2020 - Real Sociedad,Spanish La Liga,€,48,Real Sociedad de Fútbol,Spain,"24,65",CM,36,3144,5,1,1.2595419847328244,44,"31,8%","11,4%",,629,3144,524,1.0591603053435115,0.05725190839694658,2.6049618320610683,,,
Mohamed Salah,2018/2019 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,12,1058,5,2,4.4234404536862,52,"28,8%","9,6%",5,212,529,151,2.041587901701323,0.5103969754253308,1.446124763705104,2,,"100,0%"
Moussa Diaby,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,59.6,Bayer 04 Leverkusen,France,"21,61",LW,28,1769,5,5,2.0859242509892595,41,"56,1%","12,2%",4,354,354,177,3.459581684567552,0.4578858111927643,1.0175240248728095,,,
Nacer Chadli,2016/2017 - West Bromwich Albion,English Premier League,€,8.2,Istanbul Basaksehir FK,Belgium,"31,54",LW,31,2147,5,5,1.9701909641360038,47,"38,3%","10,6%",4,429,429,215,0.8383791336748952,0.1257568700512343,0.6287843502561714,1,,"100,0%"
Neymar,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,6,532,5,2,4.060150375939849,24,"66,7%","20,8%",1,106,266,76,5.413533834586466,0.5075187969924811,5.75187969924812,,,
Nicolas Pépé,2019/2020 - Arsenal,English Premier League,€,55.7,Arsenal FC,Ivory Coast,"25,71",RW,31,2015,5,6,2.2332506203473947,50,"36,0%","10,0%",2,403,336,183,3.2158808933002483,0.17866004962779156,1.6526054590570718,1,,"100,0%"
Paul Pogba,2016/2017 - Manchester United,English Premier League,€,49.6,Manchester United FC,France,"27,92",CM,30,2608,5,4,3.1748466257668713,92,"34,8%","5,4%",5,522,652,290,2.4846625766871164,0.10352760736196322,2.4501533742331287,,,
Paulo Dybala,2018/2019 - Juventus,Italian Serie A,€,61.6,Juventus FC,Argentina,"27,25",FW,30,2137,5,4,2.737482452035564,65,"32,3%","7,7%",1,427,534,237,2.1057557323350493,0.21057557323350493,2.779597566682265,1,,"100,0%"
Paulo Dybala,2018/2019 - Juventus,UEFA Champions League,€,61.6,Juventus FC,Argentina,"27,25",FW,9,518,5,,3.6486486486486487,21,"47,6%","23,8%",2,104,,104,1.9111969111969112,0.3474903474903475,2.77992277992278,,,
Pedrinho,2019/2020 - Corinthians,Brazilian Serie A,€,20.1,SL Benfica,Brazil,"22,84",RW,28,2181,5,4,2.9711141678129294,72,"33,3%","6,9%",3,436,545,242,2.7647867950481433,0.08253094910591471,2.0220082530949104,,,
Pedro Gonçalves,2019/2020 - FC Famalicão,Portuguese Primeira Liga,€,21.9,Sporting Clube de Portugal,Portugal,"22,63",CM,33,2727,5,5,2.4092409240924093,73,"31,5%","6,8%",7,545,545,273,1.485148514851485,0.09900990099009901,1.254125412541254,,,
Pedro Guilherme Abreu dos Santos,2019/2020 - Fluminense,Brazilian Serie A,€,15.2,CR Flamengo,Brazil,"23,65",FW,10,627,5,,3.875598086124402,27,"37,0%","18,5%",3,125,,125,1.0047846889952152,0.430622009569378,1.0047846889952152,2,,"100,0%"
Phil Foden,2019/2020 - Manchester City,English Premier League,€,69.6,Manchester City FC,England,"20,71",CM,23,892,5,2,3.430493273542601,34,"44,1%","14,7%",1,178,446,127,2.522421524663678,0.10089686098654709,1.311659192825112,,,
Philippe Coutinho,2017/2018 - Liverpool,UEFA Champions League,€,47.7,FC Barcelona,Brazil,"28,68",AM,5,347,5,2,3.6311239193083575,14,"78,6%","35,7%",,69,174,50,4.409221902017291,,2.07492795389049,1,,"100,0%"
Philippe Coutinho,2018/2019 - Barcelona,Spanish La Liga,€,47.7,FC Barcelona,Brazil,"28,68",AM,34,2022,5,2,3.026706231454006,68,"47,1%","7,4%",9,404,1011,289,2.2700296735905043,0.35608308605341243,2.0029673590504453,,,
Piotr Zielinski,2016/2017 - Napoli,Italian Serie A,€,40.5,SSC Napoli,Poland,"26,74",CM,36,1850,5,7,1.508108108108108,31,"29,0%","16,1%",,370,264,154,2.5297297297297296,,1.0216216216216216,,,
Raheem Sterling,2018/2019 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,10,871,5,2,2.3765786452353614,23,"43,5%","21,7%",2,174,436,124,3.2032146957520093,0.6199770378874856,1.0332950631458095,,,
Richarlison,2017/2018 - Fluminense,Brazilian Serie A,€,59.7,Everton FC,Brazil,"23,76",FW,14,1231,5,1,2.2664500406173844,31,"35,5%","16,1%",3,246,1231,205,0.2924451665312754,1.023558082859464,2.705117790414297,1,,"100,0%"
Richarlison,2017/2018 - Watford,English Premier League,€,59.7,Everton FC,Brazil,"23,76",FW,38,2827,5,4,3.02440749911567,95,"23,2%","5,3%",13,565,707,314,1.4962858153519631,0.6685532366466218,3.02440749911567,,,
Robert Lewandowski,2017/2018 - FC Bayern München,UEFA Champions League,€,73.8,FC Bayern München,Poland,"32,48",FW,11,955,5,1,4.335078534031413,46,"41,3%","10,9%",8,191,955,159,0.7539267015706808,0.6596858638743456,1.7905759162303663,1,,"100,0%"
Romelu Lukaku,2017/2018 - Manchester United,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,8,704,5,,3.3238636363636362,26,"50,0%","19,2%",6,141,,141,1.9176136363636365,0.3835227272727273,0.7670454545454546,,,
Sébastien Haller,2018/2019 - Eintracht Frankfurt,UEFA Europa League,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,10,774,5,3,2.7906976744186047,24,"45,8%","20,8%",9,155,258,97,1.2790697674418605,0.46511627906976744,1.744186046511628,1,,"100,0%"
Sergej Milinkovic-Savic,2018/2019 - Lazio,Italian Serie A,€,65,SS Lazio,Serbia,"25,97",CM,31,2405,5,3,2.8440748440748442,76,"30,3%","6,6%",6,481,802,301,1.2723492723492724,0.4490644490644491,1.2349272349272349,,,
Steven Bergwijn,2019/2020 - PSV,Dutch Eredivisie,€,48.6,Tottenham Hotspur FC,Netherlands,"23,35",LW,16,1335,5,10,2.4269662921348316,36,"47,2%","13,9%",6,267,134,89,2.696629213483146,0.06741573033707865,1.550561797752809,1,,"100,0%"
Theo Bongonda,2017/2018 - SV Zulte Waregem,Belgian UEFA Europa League Play-offs,€,11,KRC Genk,Belgium,"25,24",LW,8,606,5,2,1.9306930693069306,13,"38,5%","38,5%",1,121,303,87,2.97029702970297,0.1485148514851485,2.227722772277228,,,
Theo Bongonda,2019/2020 - KRC Genk,Belgian Jupiler Pro League,€,11,KRC Genk,Belgium,"25,24",LW,22,1419,5,3,2.4101479915433406,38,"55,3%","13,2%",,284,473,177,1.8393234672304444,0.19027484143763213,3.2346723044397465,,,
Toni Kroos,2017/2018 - Real Madrid,Spanish La Liga,€,51.5,Real Madrid CF,Germany,"31,11",CM,27,2267,5,7,1.627701808557565,41,"41,5%","12,2%",1,453,324,189,0.9528010586678429,0.07940008822232024,1.5086016762240846,,,
Vincent Aboubakar,2017/2018 - FC Porto,UEFA Champions League,€,8.2,Besiktas JK,Cameroon,"29,06",FW,6,495,5,2,2.7272727272727275,15,"66,7%","33,3%",1,99,248,71,0.36363636363636365,0.5454545454545454,1.4545454545454546,,,
Vincent Aboubakar,2020/2021 - Besiktas,Turkish Super Lig,€,8.2,Besiktas JK,Cameroon,"29,06",FW,8,642,5,1,3.22429906542056,23,"47,8%","21,7%",1,128,642,107,1.2616822429906542,1.1214953271028036,1.1214953271028036,2,0,"100,0%"
Virgil van Dijk,2019/2020 - Liverpool,English Premier League,€,68,Liverpool FC,Netherlands,"29,60",CB,38,3420,5,1,0.8157894736842105,31,"48,4%","16,1%",3,684,3420,570,0.07894736842105263,0.02631578947368421,0.6578947368421053,,,
Youri Tielemans,2018/2019 - Monaco,French Ligue 1,€,50.7,Leicester City FC,Belgium,"23,77",CM,20,1684,5,1,1.8705463182897861,35,"20,0%","14,3%",,337,1684,281,0.9619952494061756,,1.6567695961995246,1,,"100,0%"
Achraf Hakimi,2019/2020 - Borussia Dortmund,UEFA Champions League,€,70.2,FC Internazionale Milano,Morocco,"22,28",RB,8,709,4,0,2.0310296191819464,16,"31,3%","25,0%",0,177,,177,2.1579689703808183,0.12693935119887165,1.9040902679830747,0,0,"0,0%"
Alejandro Grimaldo,2018/2019 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,34,3052,4,12,1.1500655307994758,39,"30,8%","10,3%",1,763,254,191,1.5039318479685448,0.08846657929226735,1.1205766710353866,,,
Ángel Correa,2016/2017 - Atlético de Madrid,Spanish La Liga,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,31,1214,4,8,2.742998352553542,37,"43,2%","10,8%",8,304,152,101,3.632619439868204,0.29654036243822074,1.112026359143328,,,
Ansu Fati,2020/2021 - Barcelona,Spanish La Liga,€,78.4,FC Barcelona,Spain,"18,29",LW,7,436,4,0,2.889908256880734,14,"50,0%","28,6%",1,109,,109,2.2706422018348627,0.41284403669724773,2.2706422018348627,0,0,"0,0%"
Anthony Martial,2016/2017 - Manchester United,English Premier League,€,75.4,Manchester United FC,France,"25,20",FW,25,1559,4,6,2.4246311738293778,42,"42,9%","9,5%",1,390,260,156,2.5400898011545863,0.3463758819756254,1.6164207825529184,,,
Anthony Martial,2019/2020 - Manchester United,UEFA Europa League,€,75.4,Manchester United FC,France,"25,20",FW,7,491,4,0,2.74949083503055,15,"66,7%","26,7%",4,123,,123,2.74949083503055,0.7331975560081466,2.3828920570264764,1,0,"100,0%"
Antoine Griezmann,2018/2019 - Atlético de Madrid,UEFA Champions League,€,78.9,FC Barcelona,France,"29,90",FW,8,720,4,2,2.75,22,"50,0%","18,2%",2,180,360,120,0.75,0.875,0.625,,,
Antony,2019/2020 - São Paulo,Brazilian Serie A,€,34.9,AFC Ajax,Brazil,"20,98",RW,29,2385,4,6,2.452830188679245,65,"40,0%","6,2%",4,596,398,239,2.6415094339622645,0.03773584905660377,3.018867924528302,,,
Antony,2020/2021 - Ajax,Dutch Eredivisie,€,34.9,AFC Ajax,Brazil,"20,98",RW,10,593,4,3,3.490725126475548,23,"39,1%","17,4%",1,148,198,85,2.7318718381112985,0.15177065767284992,1.3659359190556493,0,0,"0,0%"
Benjamin Pavard,2019/2020 - FC Bayern München,German Bundesliga,€,65.1,FC Bayern München,France,"24,88",RB,32,2790,4,4,0.7419354838709677,23,"30,4%","17,4%",2,698,698,349,0.41935483870967744,0.06451612903225806,0.7419354838709677,,,
Bernardo Silva,2018/2019 - Manchester City,UEFA Champions League,€,71.4,Manchester City FC,Portugal,"26,51",RW,8,578,4,1,1.8685121107266436,12,"50,0%","33,3%",1,145,578,116,2.3356401384083045,0.15570934256055363,0.6228373702422145,,,
Bruno Fernandes,2020/2021 - Manchester United,UEFA Champions League,€,107.4,Manchester United FC,Portugal,"26,44",AM,6,439,4,1,4.100227790432802,20,"45,0%","20,0%",0,110,439,88,0.6150341685649203,0.20501138952164008,1.8451025056947608,2,0,"100,0%"
Callum Hudson-Odoi,2018/2019 - Chelsea,UEFA Europa League,€,47.4,Chelsea FC,England,"20,27",LW,9,416,4,2,3.0288461538461537,14,"50,0%","28,6%",,104,208,69,6.490384615384615,0.4326923076923077,1.7307692307692308,,,
Casemiro,2016/2017 - Real Madrid,Spanish La Liga,€,71.8,Real Madrid CF,Brazil,"28,98",DM,25,1708,4,,0.7903981264637002,15,"26,7%","26,7%",2,427,,427,0.36885245901639346,0.1053864168618267,2.371194379391101,,,
Casemiro,2019/2020 - Real Madrid,Spanish La Liga,€,71.8,Real Madrid CF,Brazil,"28,98",DM,35,3090,4,3,1.3106796116504855,45,"28,9%","8,9%",2,773,1030,441,0.8446601941747572,0.08737864077669903,1.8932038834951457,,,
Christian Pulisic,2017/2018 - Borussia Dortmund,German Bundesliga,€,66,Chelsea FC,United States of America,"22,41",LW,32,2312,4,5,1.4792387543252594,38,"42,1%","10,5%",6,578,462,257,2.9974048442906573,0.35034602076124566,1.3235294117647058,,,
Christian Pulisic,2018/2019 - Borussia Dortmund,German Bundesliga,€,66,Chelsea FC,United States of America,"22,41",LW,20,923,4,4,2.6327193932827737,27,"37,0%","14,8%",5,231,231,115,4.09534127843987,0.6825568797399784,2.535211267605634,,,
Christopher Nkunku,2017/2018 - Paris Saint-Germain,French Ligue 1,€,41.2,RB Leipzig,France,"23,25",AM,20,621,4,,2.8985507246376807,20,"65,0%","20,0%",2,155,,155,1.8840579710144927,0.2898550724637681,1.3043478260869565,,,
Cristiano Ronaldo,2019/2020 - Juventus,UEFA Champions League,€,63.9,Juventus FC,Portugal,"36,03",LW,8,712,4,0,5.056179775280898,40,"37,5%","10,0%",2,178,,178,1.7696629213483146,1.3904494382022472,1.2640449438202246,1,0,"100,0%"
Cristiano Ronaldo,2020/2021 - Juventus,UEFA Champions League,€,63.9,Juventus FC,Portugal,"36,03",LW,4,359,4,1,4.26183844011142,17,"47,1%","23,5%",3,90,359,72,1.7548746518105849,1.2534818941504178,0.7520891364902509,2,0,"100,0%"
Diogo Jota,2020/2021 - Liverpool,UEFA Champions League,€,58.1,Liverpool FC,Portugal,"24,20",LW,6,360,4,0,2.5,10,"70,0%","40,0%",2,90,,90,2,0.25,3.2499999999999996,0,0,"0,0%"
Dominic Calvert-Lewin,2017/2018 - Everton,English Premier League,€,60.1,Everton FC,England,"23,91",FW,32,1875,4,6,2.064,43,"39,5%","9,3%",5,469,313,188,1.008,0.72,1.296,,,
Edmond Tapsoba,2019/2020 - Vitória Guimarães,Portuguese Primeira Liga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,16,1351,4,2,0.999259807549963,15,"33,3%","26,7%",4,338,676,225,0.33308660251665434,0.06661732050333086,0.33308660251665434,3,,"100,0%"
Emiliano Buendía,2020/2021 - Norwich City,English Football League - Championship,€,27.2,Norwich City FC,Argentina,"24,14",RW,13,1115,4,4,3.2286995515695067,40,"35,0%","10,0%",4,279,279,139,1.3721973094170403,0.08071748878923767,1.7757847533632285,1,0,"100,0%"
Felipe Anderson,2016/2017 - Lazio,Italian Serie A,€,20.1,FC Porto,Brazil,"27,83",LW,36,2919,4,9,2.189105858170606,71,"29,6%","5,6%",3,730,324,225,3.607399794450154,0.09249743062692703,1.5107913669064748,1,,"100,0%"
Felipe Anderson,2017/2018 - Lazio,Italian Serie A,€,20.1,FC Porto,Brazil,"27,83",LW,21,1151,4,7,2.0330147697654217,26,"38,5%","15,4%",1,288,164,105,6.0208514335360555,,1.1728931364031276,,,
Ferran Torres,2019/2020 - Valencia CF,Spanish La Liga,€,55,Manchester City FC,Spain,"20,96",RW,34,2258,4,5,1.3153232949512843,33,"30,3%","12,1%",5,565,452,251,2.1523472099202836,0.6377325066430469,1.554472984942427,,,
Ferran Torres,2020/2021 - Manchester City,UEFA Champions League,€,55,Manchester City FC,Spain,"20,96",RW,5,350,4,0,3.085714285714286,12,"41,7%","33,3%",1,88,,88,1.542857142857143,0.7714285714285715,1.2857142857142856,0,0,"0,0%"
Florian Neuhaus,2019/2020 - Borussia Mönchengladbach,German Bundesliga,€,41.1,Borussia VfL Mönchengladbach,Germany,"23,91",CM,30,2358,4,2,2.1755725190839694,57,"40,4%","7,0%",7,590,1179,393,1.7938931297709928,0.07633587786259542,1.9083969465648856,,,
Franck Kessié,2019/2020 - Milan,Italian Serie A,€,41.9,AC Milan,Ivory Coast,"24,16",CM,35,2910,4,1,1.2371134020618557,40,"32,5%","10,0%",2,728,2910,582,0.7731958762886598,0.030927835051546393,0.6494845360824743,2,,"100,0%"
Franck Kessié,2020/2021 - Milan,Italian Serie A,€,41.9,AC Milan,Ivory Coast,"24,16",CM,10,826,4,2,1.6343825665859564,15,"40,0%","26,7%",2,207,413,138,1.4164648910411621,0,1.089588377723971,3,1,"75,0%"
Gabriel Jesus,2017/2018 - Manchester City,UEFA Champions League,€,73.1,Manchester City FC,Brazil,"23,87",FW,9,618,4,,1.6019417475728155,11,"63,6%","36,4%",1,155,,155,0.29126213592233013,1.3106796116504855,1.3106796116504855,,,
Gabriel Jesus,2018/2019 - Manchester City,UEFA Champions League,€,73.1,Manchester City FC,Brazil,"23,87",FW,6,375,4,,5.04,21,"47,6%","19,0%",3,94,,94,0.72,2.88,1.6800000000000004,2,,"100,0%"
Gerard Moreno,2018/2019 - Villarreal,UEFA Europa League,€,40.6,Villarreal CF,Spain,"28,86",FW,11,711,4,1,3.2911392405063293,26,"42,3%","15,4%",1,178,711,142,1.139240506329114,0.5063291139240507,1.7721518987341771,,,
Giorgian de Arrascaeta,2020/2021 - Flamengo,Brazilian Serie A,€,19.1,CR Flamengo,Uruguay,"26,71",AM,13,960,4,4,2.71875,29,"44,8%","13,8%",6,240,240,120,1.9687499999999998,0,1.6875,0,0,"0,0%"
Heung-min Son,2017/2018 - Tottenham Hotspur,UEFA Champions League,€,80.5,Tottenham Hotspur FC,South Korea,"28,60",LW,7,426,4,,5.28169014084507,25,"36,0%","16,0%",2,107,,107,1.267605633802817,1.267605633802817,1.267605633802817,,,
Heung-min Son,2018/2019 - Tottenham Hotspur,UEFA Champions League,€,80.5,Tottenham Hotspur FC,South Korea,"28,60",LW,12,905,4,1,3.2817679558011057,33,"51,5%","12,1%",2,226,905,181,1.9889502762430937,0.7955801104972376,0.6961325966850829,,,
Hirving Lozano,2019/2020 - Napoli,Italian Serie A,€,43.1,SSC Napoli,Mexico,"25,54",LW,26,1020,4,1,3,34,"38,2%","11,8%",1,255,1020,204,2.1176470588235294,0.5294117647058824,3.176470588235294,,,
Ilkay Gündogan,2017/2018 - Manchester City,English Premier League,€,50.9,Manchester City FC,Germany,"30,31",CM,30,1510,4,1,2.0860927152317883,35,"31,4%","11,4%",1,378,1510,302,1.5496688741721854,,1.1324503311258278,1,,"100,0%"
