Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Piotr Zielinski,2018/2019 - Napoli,Italian Serie A,€,40.5,SSC Napoli,Poland,"26,74",CM,36,2881,0.8434571329399514,27,29,0.9310344827586207,6,
Rafa Silva,2018/2019 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,26,1917,1.5023474178403755,32,47,0.6808510638297872,6,
Rúben Dias,2019/2020 - Benfica,Portuguese Primeira Liga,€,76,Manchester City FC,Portugal,"23,75",CB,33,2970,1.0606060606060606,35,21,1.6666666666666667,6,
Todd Cantwell,2019/2020 - Norwich City,English Premier League,€,14.6,Norwich City FC,England,"22,97",LW,37,2500,1.188,33,67,0.4925373134328358,6,
Toni Kroos,2016/2017 - Real Madrid,Spanish La Liga,€,51.5,Real Madrid CF,Germany,"31,11",CM,29,2500,0.936,26,34,0.7647058823529411,6,0
Wilfred Ndidi,2017/2018 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,33,2899,1.8627112797516385,60,26,2.3076923076923075,6,2
Wilfred Ndidi,2019/2020 - Leicester City,English Premier League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,32,2674,1.884816753926702,56,27,2.074074074074074,6,
Youri Tielemans,2016/2017 - RSC Anderlecht,Belgian Jupiler Pro League,€,50.7,Leicester City FC,Belgium,"23,77",CM,37,3045,1.5073891625615763,51,43,1.186046511627907,6,0
Achraf Hakimi,2019/2020 - Borussia Dortmund,German Bundesliga,€,70.2,FC Internazionale Milano,Morocco,"22,28",RB,33,2716,0.7952871870397643,24,50,0.48,5,
Álvaro Morata,2018/2019 - Atlético de Madrid,Spanish La Liga,€,55.9,Juventus FC,Spain,"28,31",FW,15,1089,2.396694214876033,29,19,1.5263157894736843,5,
Andrew Robertson,2016/2017 - Hull City,English Premier League,€,67.3,Liverpool FC,Scotland,"26,93",LB,33,2736,0.5921052631578947,18,10,1.8,5,0
Ángel Correa,2019/2020 - Atlético de Madrid,Spanish La Liga,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,33,2065,1.1331719128329298,26,41,0.6341463414634146,5,
Antoine Griezmann,2018/2019 - Atlético de Madrid,Spanish La Liga,€,78.9,FC Barcelona,France,"29,90",FW,37,3202,0.5059337913803872,18,35,0.5142857142857142,5,
Aymeric Laporte,2017/2018 - Athletic Club,Spanish La Liga,€,67.5,Manchester City FC,France,"26,72",CB,19,1710,1,19,18,1.0555555555555556,5,0
Benjamin Pavard,2019/2020 - FC Bayern München,German Bundesliga,€,65.1,FC Bayern München,France,"24,88",RB,32,2790,1.2903225806451613,40,23,1.7391304347826086,5,
Bernardo Silva,2019/2020 - Manchester City,English Premier League,€,71.4,Manchester City FC,Portugal,"26,51",RW,34,2029,1.020206998521439,23,20,1.15,5,
Casemiro,2018/2019 - Real Madrid,Spanish La Liga,€,71.8,Real Madrid CF,Brazil,"28,98",DM,29,2316,1.8264248704663213,47,49,0.9591836734693877,5,1
Ciro Immobile,2016/2017 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,36,3124,1.094750320102433,38,47,0.8085106382978723,5,0
