Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,goal_assist,total_att_assist,Passes per 90 mins weighted by mins_played per _Season - Club - Competition,Pass success weighted by total_pass per _Season - Club - Competition,total_pass,Pass success final third weighted by total_pass per _Season - Club - Competition,total_final_third_passes,Cross accuracy weighted by total_cross_nocorner per _Season - Club - Competition,total_cross_nocorner
Antony,2018/2019 - São Paulo,Brazilian Serie A,€,34.9,AFC Ajax,Brazil,"20,98",RW,3,43,,1,"54,4",77%,26,73%,15,,4
Antony,2019/2020 - São Paulo,Brazilian Serie A,€,34.9,AFC Ajax,Brazil,"20,98",RW,29,2385,6,38,"48,4",84%,1283,77%,520,"13,1%",61
Antony,2020/2021 - Ajax,Dutch Eredivisie,€,34.9,AFC Ajax,Brazil,"20,98",RW,10,593,3,14,"46,7",82%,308,79%,189,"32,3%",31
Antony,2020/2021 - Ajax,UEFA Champions League,€,34.9,AFC Ajax,Brazil,"20,98",RW,4,358,0,7,"38,5",71%,153,65%,65,"22,2%",9
Éverton,2016/2017 - Grêmio,Brazilian Serie A,€,31.5,SL Benfica,Brazil,"24,90",LW,27,1749,1,16,"25,7",77%,500,73%,213,"20,0%",25
Éverton,2017/2018 - Grêmio,Brazilian Serie A,€,31.5,SL Benfica,Brazil,"24,90",LW,32,1570,4,15,"25,9",80%,452,72%,207,"33,3%",15
Éverton,2018/2019 - Grêmio,Brazilian Serie A,€,31.5,SL Benfica,Brazil,"24,90",LW,27,2131,3,21,"30,9",83%,731,75%,354,"16,7%",24
Éverton,2019/2020 - Grêmio,Brazilian Serie A,€,31.5,SL Benfica,Brazil,"24,90",LW,30,2276,5,28,"31,3",82%,791,75%,414,"12,5%",24
Éverton,2020/2021 - Benfica,Portuguese Primeira Liga,€,31.5,SL Benfica,Brazil,"24,90",LW,9,651,3,14,"34,4",85%,249,80%,154,"18,2%",11
Éverton,2020/2021 - Benfica,UEFA Europa League,€,31.5,SL Benfica,Brazil,"24,90",LW,6,494,2,11,"35,3",84%,194,82%,92,"0,0%",6
David Neres,2016/2017 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,8,498,1,14,"32,0",84%,177,83%,107,"20,0%",15
David Neres,2016/2017 - Ajax,UEFA Europa League,€,31,AFC Ajax,Brazil,"23,95",RW,4,59,,2,"29,0",68%,19,73%,15,"100,0%",1
David Neres,2016/2017 - São Paulo,Brazilian Serie A,€,31,AFC Ajax,Brazil,"23,95",RW,8,619,,13,"27,9",83%,192,80%,93,"21,1%",19
David Neres,2017/2018 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,31,2441,10,67,"36,2",83%,981,80%,579,"16,7%",30
David Neres,2017/2018 - Jong Ajax,Dutch Eerste Divisie,€,31,AFC Ajax,Brazil,"23,95",RW,1,90,,2,"27,0",85%,27,81%,16,,
David Neres,2018/2019 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,29,1882,8,31,"41,8",83%,874,78%,498,"16,7%",36
David Neres,2018/2019 - Ajax,UEFA Champions League,€,31,AFC Ajax,Brazil,"23,95",RW,11,852,2,12,"32,6",86%,309,85%,168,"33,3%",9
David Neres,2019/2020 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,12,635,1,12,"48,3",84%,341,80%,192,"33,3%",6
David Neres,2019/2020 - Ajax,UEFA Champions League,€,31,AFC Ajax,Brazil,"23,95",RW,4,180,1,2,"42,0",81%,84,74%,42,"0,0%",1
David Neres,2020/2021 - Ajax,Dutch Eredivisie,€,31,AFC Ajax,Brazil,"23,95",RW,8,407,1,9,"44,4",80%,201,80%,129,"20,0%",10
David Neres,2020/2021 - Ajax,UEFA Champions League,€,31,AFC Ajax,Brazil,"23,95",RW,4,313,0,8,"37,1",79%,129,75%,71,"22,2%",9
Gabriel Veron,2019/2020 - Palmeiras,Brazilian Serie A,€,30.9,SE Palmeiras,Brazil,"18,45",RW,3,70,1,1,"23,1",72%,18,70%,10,,1
Gabriel Veron,2020/2021 - Palmeiras,Brazilian Serie A,€,30.9,SE Palmeiras,Brazil,"18,45",RW,14,620,1,11,"28,3",77%,195,71%,99,"28,6%",7
André Onana,2016/2017 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,32,2880,1,1,"28,0",75%,896,26%,47,,
André Onana,2016/2017 - Ajax,UEFA Europa League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,14,1290,,1,"36,2",59%,519,15%,46,,
André Onana,2017/2018 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,32,2880,,,"25,9",73%,828,19%,74,,
André Onana,2018/2019 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,33,2921,,,"24,3",76%,790,29%,49,,
André Onana,2018/2019 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,12,1080,,,"28,3",57%,339,16%,37,,
André Onana,2019/2020 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,24,2160,,,"26,6",79%,638,53%,36,,
André Onana,2019/2020 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,6,540,0,0,"32,8",59%,197,15%,26,,0
André Onana,2019/2020 - Ajax,UEFA Europa League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,1,90,0,0,"49,0",86%,49,30%,10,,0
André Onana,2020/2021 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,11,990,0,0,"33,5",79%,369,36%,25,,0
André Onana,2020/2021 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,6,540,0,0,"46,8",76%,281,20%,20,,0
Ryan Gravenberch,2018/2019 - Ajax,Dutch Eredivisie,€,30,AFC Ajax,Netherlands,"18,75",CM,1,7,,,"64,3",60%,5,50%,4,,
Ryan Gravenberch,2018/2019 - Jong Ajax,Dutch Eerste Divisie,€,30,AFC Ajax,Netherlands,"18,75",CM,27,2332,9,50,"60,9",84%,1578,76%,583,,7
Ryan Gravenberch,2019/2020 - Ajax,Dutch Eredivisie,€,30,AFC Ajax,Netherlands,"18,75",CM,9,480,1,12,"68,4",86%,365,81%,139,"33,3%",3
Ryan Gravenberch,2019/2020 - Ajax,UEFA Europa League,€,30,AFC Ajax,Netherlands,"18,75",CM,1,75,0,1,"45,6",76%,38,67%,12,"0,0%",2
Ryan Gravenberch,2019/2020 - Jong Ajax,Dutch Eerste Divisie,€,30,AFC Ajax,Netherlands,"18,75",CM,17,1486,3,28,"63,0",85%,1041,80%,388,"25,0%",4
Ryan Gravenberch,2020/2021 - Ajax,Dutch Eredivisie,€,30,AFC Ajax,Netherlands,"18,75",CM,9,746,3,7,"77,6",87%,643,78%,232,"33,3%",6
Ryan Gravenberch,2020/2021 - Ajax,UEFA Champions League,€,30,AFC Ajax,Netherlands,"18,75",CM,6,529,0,1,"51,4",83%,302,80%,80,"12,5%",8
Jesús Corona,2016/2017 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,29,1648,5,43,"43,9",80%,804,68%,403,"22,9%",105
Jesús Corona,2016/2017 - FC Porto,UEFA Champions League,€,29.7,FC Porto,Mexico,"28,11",RW,7,318,1,5,"49,8",86%,176,83%,69,"4,3%",23
Jesús Corona,2017/2018 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,27,1445,3,24,"42,1",83%,676,70%,240,"16,9%",65
Jesús Corona,2017/2018 - FC Porto,UEFA Champions League,€,29.7,FC Porto,Mexico,"28,11",RW,8,318,,5,"35,7",79%,126,68%,47,"33,3%",9
Jesús Corona,2018/2019 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,34,2351,9,64,"38,5",81%,1005,73%,415,"28,9%",90
Jesús Corona,2018/2019 - FC Porto,UEFA Champions League,€,29.7,FC Porto,Mexico,"28,11",RW,8,561,2,10,"34,2",79%,213,68%,85,"25,9%",27
Jesús Corona,2019/2020 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,33,2762,11,60,"41,2",82%,1263,70%,439,"30,3%",122
Jesús Corona,2019/2020 - FC Porto,UEFA Europa League,€,29.7,FC Porto,Mexico,"28,11",RW,7,624,1,12,"46,3",83%,321,73%,117,"37,9%",29
Jesús Corona,2020/2021 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,9,715,3,20,"38,3",77%,304,72%,159,"20,0%",20
Jesús Corona,2020/2021 - FC Porto,UEFA Champions League,€,29.7,FC Porto,Mexico,"28,11",RW,6,390,2,4,"26,1",81%,113,76%,38,"40,0%",5
Rafa Silva,2016/2017 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,20,1102,4,19,"34,2",72%,419,61%,228,"14,3%",14
Rafa Silva,2016/2017 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,3,126,,,"22,1",71%,31,63%,8,,1
Rafa Silva,2016/2017 - Sporting Braga,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,1,74,,1,"26,8",86%,22,86%,7,,
Rafa Silva,2017/2018 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,20,1215,4,21,"33,4",73%,451,65%,247,"13,6%",22
Rafa Silva,2017/2018 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,1,1,,,"180,0",50%,2,50%,2,,
Rafa Silva,2018/2019 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,26,1917,2,41,"29,2",76%,621,65%,330,"33,3%",24
Rafa Silva,2018/2019 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,6,368,,2,"24,0",72%,98,69%,45,"33,3%",3
Rafa Silva,2018/2019 - Benfica,UEFA Europa League,€,28.5,SL Benfica,Portugal,"27,75",LW,5,315,,4,"28,9",74%,101,71%,51,,2
Rafa Silva,2019/2020 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,25,1698,5,27,"32,7",79%,616,72%,319,"45,8%",24
Rafa Silva,2019/2020 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,3,124,1,2,"41,4",77%,57,79%,28,"0,0%",1
Rafa Silva,2019/2020 - Benfica,UEFA Europa League,€,28.5,SL Benfica,Portugal,"27,75",LW,2,101,0,0,"35,6",85%,40,74%,19,"0,0%",2
Rafa Silva,2020/2021 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,9,651,2,13,"39,1",81%,283,72%,173,"37,5%",8
Rafa Silva,2020/2021 - Benfica,UEFA Europa League,€,28.5,SL Benfica,Portugal,"27,75",LW,6,373,1,4,"43,4",80%,180,73%,99,"0,0%",3
Gabriel Barbosa,2016/2017 - Internazionale,Italian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,9,112,,4,"51,4",86%,64,76%,34,"50,0%",2
Gabriel Barbosa,2016/2017 - Santos,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,11,911,1,17,"42,6",85%,431,76%,207,"20,0%",10
Gabriel Barbosa,2017/2018 - Benfica,Portuguese Primeira Liga,€,27.7,CR Flamengo,Brazil,"24,46",FW,1,13,,,"41,5",100%,6,100%,1,,
Gabriel Barbosa,2017/2018 - Benfica,UEFA Champions League,€,27.7,CR Flamengo,Brazil,"24,46",FW,2,30,,1,"75,0",88%,25,83%,12,,1
Gabriel Barbosa,2017/2018 - Internazionale,Italian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,0,,,,,,,,,,
Gabriel Barbosa,2018/2019 - Santos,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,35,2974,2,36,"28,9",78%,954,69%,444,"22,2%",36
Gabriel Barbosa,2019/2020 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,29,2544,8,29,"25,6",81%,725,70%,390,"13,8%",29
Gabriel Barbosa,2020/2021 - Flamengo,Brazilian Serie A,€,27.7,CR Flamengo,Brazil,"24,46",FW,11,827,0,7,"24,5",80%,225,70%,113,"7,1%",14
Emiliano Buendía,2017/2018 - Cultural Leonesa,Spanish Segunda Division,€,27.2,Norwich City FC,Argentina,"24,14",RW,40,3163,13,77,"42,7",74%,1500,62%,616,"19,1%",94
Emiliano Buendía,2018/2019 - Norwich City,English Football League - Championship,€,27.2,Norwich City FC,Argentina,"24,14",RW,38,2859,12,91,"52,3",79%,1661,73%,739,"18,9%",53
Emiliano Buendía,2019/2020 - Norwich City,English Premier League,€,27.2,Norwich City FC,Argentina,"24,14",RW,36,2462,7,83,"51,4",80%,1407,75%,609,"19,3%",57
Emiliano Buendía,2020/2021 - Norwich City,English Football League - Championship,€,27.2,Norwich City FC,Argentina,"24,14",RW,13,1115,4,43,"56,1",77%,695,71%,374,"30,8%",13
Max Aarons,2018/2019 - Norwich City,English Football League - Championship,€,26.6,Norwich City FC,England,"21,11",RB,41,3665,6,31,"44,7",81%,1820,77%,521,"12,8%",78
Max Aarons,2019/2020 - Norwich City,English Premier League,€,26.6,Norwich City FC,England,"21,11",RB,36,3240,1,23,"37,2",79%,1339,76%,331,"21,9%",73
Max Aarons,2020/2021 - Norwich City,English Football League - Championship,€,26.6,Norwich City FC,England,"21,11",RB,17,1529,0,18,"46,9",85%,797,84%,265,"17,5%",57
Sébastien Haller,2016/2017 - FC Utrecht,Dutch Eredivisie,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,36,3224,5,52,"33,4",66%,1196,58%,666,"15,6%",32
Sébastien Haller,2017/2018 - Eintracht Frankfurt,German Bundesliga,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,31,2351,4,30,"26,3",66%,687,53%,324,,6
Sébastien Haller,2018/2019 - Eintracht Frankfurt,German Bundesliga,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,29,2181,9,38,"32,4",63%,786,51%,383,"16,7%",6
Sébastien Haller,2018/2019 - Eintracht Frankfurt,UEFA Europa League,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,10,774,3,14,"30,1",69%,259,60%,118,"28,6%",7
Sébastien Haller,2019/2020 - West Ham United,English Premier League,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,32,2263,1,24,"30,5",66%,767,57%,327,"12,5%",8
Sébastien Haller,2020/2021 - West Ham United,English Premier League,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,10,439,0,8,"24,8",58%,121,57%,53,"100,0%",1
Calvin Stengs,2016/2017 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,5,312,1,6,"26,3",81%,91,87%,46,"33,3%",3
Calvin Stengs,2017/2018 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,1,8,,1,"56,3",100%,5,100%,5,,
Calvin Stengs,2018/2019 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,21,1693,4,35,"35,5",74%,668,67%,346,"20,0%",15
Calvin Stengs,2018/2019 - Jong AZ,Dutch Eerste Divisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,2,141,,1,"50,4",70%,79,60%,40,,
Calvin Stengs,2019/2020 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,25,2158,7,60,"48,1",78%,1154,72%,610,"13,3%",30
Calvin Stengs,2019/2020 - AZ,UEFA Europa League,€,26,AZ Alkmaar,Netherlands,"22,16",RW,8,701,2,10,"45,6",74%,355,66%,180,"9,1%",11
Calvin Stengs,2020/2021 - AZ,Dutch Eredivisie,€,26,AZ Alkmaar,Netherlands,"22,16",RW,8,632,0,20,"40,3",80%,283,72%,152,"23,1%",13
Calvin Stengs,2020/2021 - AZ,UEFA Europa League,€,26,AZ Alkmaar,Netherlands,"22,16",RW,6,496,1,9,"27,4",75%,151,66%,67,"0,0%",4
Ismaïla Sarr,2016/2017 - Metz,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,31,1939,1,24,"20,4",69%,439,61%,213,"11,3%",71
Ismaïla Sarr,2017/2018 - Rennes,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,24,1864,3,18,"19,5",80%,403,73%,212,"14,3%",35
Ismaïla Sarr,2018/2019 - Rennes,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,35,2794,6,39,"22,3",76%,693,70%,388,"26,1%",46
Ismaïla Sarr,2018/2019 - Rennes,UEFA Europa League,€,23.9,Watford FC,Senegal,"22,97",RW,9,734,2,15,"22,8",78%,186,75%,111,,15
Ismaïla Sarr,2019/2020 - Watford,English Premier League,€,23.9,Watford FC,Senegal,"22,97",RW,28,2028,4,25,"21,8",82%,492,76%,242,"18,2%",99
Ismaïla Sarr,2020/2021 - Watford,English Football League - Championship,€,23.9,Watford FC,Senegal,"22,97",RW,14,1249,2,13,"29,5",77%,410,74%,213,"14,0%",57
Teun Koopmeiners,2017/2018 - AZ,Dutch Eredivisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,26,2191,4,41,"51,8",81%,1261,72%,386,"21,4%",42
Teun Koopmeiners,2017/2018 - Jong AZ,Dutch Eerste Divisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,6,540,,,,,,,,,
Teun Koopmeiners,2018/2019 - AZ,Dutch Eredivisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,32,2880,1,22,"69,5",86%,2224,70%,433,"27,3%",11
Teun Koopmeiners,2019/2020 - AZ,Dutch Eredivisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,25,2217,2,27,"83,3",87%,2053,71%,462,"26,3%",19
Teun Koopmeiners,2019/2020 - AZ,UEFA Europa League,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,8,720,1,7,"85,6",85%,685,68%,141,"14,3%",7
Teun Koopmeiners,2020/2021 - AZ,Dutch Eredivisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,10,900,2,14,"65,9",85%,659,70%,215,"31,6%",19
Teun Koopmeiners,2020/2021 - AZ,UEFA Europa League,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,6,540,2,4,"50,3",78%,302,55%,64,"33,3%",6
Alejandro Grimaldo,2016/2017 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,14,1253,3,22,"53,4",81%,744,69%,220,"17,5%",40
Alejandro Grimaldo,2016/2017 - Benfica,UEFA Champions League,€,22.5,SL Benfica,Spain,"25,40",LB,4,360,,4,"45,5",85%,182,76%,41,"50,0%",4
Alejandro Grimaldo,2017/2018 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,28,2441,4,36,"59,4",82%,1611,71%,523,"24,0%",75
Alejandro Grimaldo,2017/2018 - Benfica,UEFA Champions League,€,22.5,SL Benfica,Spain,"25,40",LB,4,321,,4,"55,5",90%,198,73%,51,"11,1%",9
Alejandro Grimaldo,2018/2019 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,34,3052,12,54,"57,6",83%,1954,72%,655,"32,4%",105
Alejandro Grimaldo,2018/2019 - Benfica,UEFA Champions League,€,22.5,SL Benfica,Spain,"25,40",LB,6,540,,6,"47,5",86%,285,75%,89,"9,1%",11
Alejandro Grimaldo,2018/2019 - Benfica,UEFA Europa League,€,22.5,SL Benfica,Spain,"25,40",LB,5,435,1,6,"55,0",82%,266,66%,92,"12,5%",16
Alejandro Grimaldo,2019/2020 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,26,2301,6,56,"53,2",83%,1361,75%,441,"21,6%",97
Alejandro Grimaldo,2019/2020 - Benfica,UEFA Champions League,€,22.5,SL Benfica,Spain,"25,40",LB,6,540,0,14,"52,2",79%,313,76%,110,"10,7%",28
Alejandro Grimaldo,2019/2020 - Benfica,UEFA Europa League,€,22.5,SL Benfica,Spain,"25,40",LB,2,180,1,3,"43,0",76%,86,67%,43,"11,1%",9
Alejandro Grimaldo,2020/2021 - Benfica,Portuguese Primeira Liga,€,22.5,SL Benfica,Spain,"25,40",LB,7,533,4,13,"58,4",86%,346,79%,149,"63,2%",19
Alejandro Grimaldo,2020/2021 - Benfica,UEFA Europa League,€,22.5,SL Benfica,Spain,"25,40",LB,4,292,0,4,"54,9",80%,178,72%,68,"10,0%",10
Darwin Núñez,2019/2020 - Almería,Spanish Segunda Division,€,22,SL Benfica,Uruguay,"21,64",FW,32,2610,3,30,"18,4",63%,534,50%,251,,7
Darwin Núñez,2020/2021 - Benfica,Portuguese Primeira Liga,€,22,SL Benfica,Uruguay,"21,64",FW,8,691,4,13,"16,8",68%,129,66%,92,"0,0%",4
Darwin Núñez,2020/2021 - Benfica,UEFA Europa League,€,22,SL Benfica,Uruguay,"21,64",FW,5,342,1,8,"18,7",83%,71,84%,49,"100,0%",1
Myron Boadu,2017/2018 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,1,23,,1,"47,0",100%,12,100%,8,,
Myron Boadu,2018/2019 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,8,391,2,6,"12,9",86%,56,80%,35,,
Myron Boadu,2018/2019 - Jong AZ,Dutch Eerste Divisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,1,62,,1,"13,1",89%,9,75%,4,,
Myron Boadu,2019/2020 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,24,2018,6,26,"18,8",83%,422,78%,202,,
Myron Boadu,2019/2020 - AZ,UEFA Europa League,€,22,AZ Alkmaar,Netherlands,"20,09",FW,7,623,2,9,"18,3",85%,127,75%,56,"0,0%",1
Myron Boadu,2020/2021 - AZ,Dutch Eredivisie,€,22,AZ Alkmaar,Netherlands,"20,09",FW,8,571,0,9,"19,7",74%,125,72%,57,"0,0%",3
Myron Boadu,2020/2021 - AZ,UEFA Europa League,€,22,AZ Alkmaar,Netherlands,"20,09",FW,4,190,0,2,"14,7",65%,31,71%,14,"100,0%",1
Pedro Gonçalves,2019/2020 - FC Famalicão,Portuguese Primeira Liga,€,21.9,Sporting Clube de Portugal,Portugal,"22,63",CM,33,2727,5,49,"33,6",76%,1018,60%,368,"17,0%",47
Pedro Gonçalves,2020/2021 - Sporting CP,Portuguese Primeira Liga,€,21.9,Sporting Clube de Portugal,Portugal,"22,63",CM,8,683,1,18,"32,3",76%,245,67%,91,"25,0%",20
Dusan Tadic,2016/2017 - Southampton,English Premier League,€,21.7,AFC Ajax,Serbia,"32,24",LW,33,2426,5,66,"39,4",79%,1062,73%,606,"23,6%",123
Dusan Tadic,2016/2017 - Southampton,UEFA Europa League,€,21.7,AFC Ajax,Serbia,"32,24",LW,5,306,1,9,"39,1",81%,133,76%,70,"31,8%",22
Dusan Tadic,2017/2018 - Southampton,English Premier League,€,21.7,AFC Ajax,Serbia,"32,24",LW,36,2810,3,59,"35,6",75%,1111,67%,621,"18,3%",93
Dusan Tadic,2018/2019 - Ajax,Dutch Eredivisie,€,21.7,AFC Ajax,Serbia,"32,24",LW,34,2909,13,90,"44,1",76%,1426,70%,926,"19,0%",153
Dusan Tadic,2018/2019 - Ajax,UEFA Champions League,€,21.7,AFC Ajax,Serbia,"32,24",LW,12,1080,4,37,"36,8",75%,442,71%,282,"19,2%",26
Dusan Tadic,2019/2020 - Ajax,Dutch Eredivisie,€,21.7,AFC Ajax,Serbia,"32,24",LW,25,2172,14,91,"39,4",77%,951,73%,641,"29,9%",77
Dusan Tadic,2019/2020 - Ajax,UEFA Champions League,€,21.7,AFC Ajax,Serbia,"32,24",LW,6,540,3,10,"29,0",79%,174,78%,125,"16,7%",12
Dusan Tadic,2019/2020 - Ajax,UEFA Europa League,€,21.7,AFC Ajax,Serbia,"32,24",LW,2,180,0,1,"32,0",66%,64,61%,36,"0,0%",2
Dusan Tadic,2020/2021 - Ajax,Dutch Eredivisie,€,21.7,AFC Ajax,Serbia,"32,24",LW,11,771,3,37,"38,1",77%,326,73%,225,"27,9%",43
Dusan Tadic,2020/2021 - Ajax,UEFA Champions League,€,21.7,AFC Ajax,Serbia,"32,24",LW,6,540,3,15,"37,8",77%,227,76%,135,"16,7%",18
Matheus Henrique,2017/2018 - Grêmio,Brazilian Serie A,€,21,Gremio FBPA,Brazil,"23,16",CM,1,15,,,"60,0",70%,10,33%,3,,
Matheus Henrique,2018/2019 - Grêmio,Brazilian Serie A,€,21,Gremio FBPA,Brazil,"23,16",CM,12,756,,7,"68,2",92%,573,86%,119,"33,3%",3
Matheus Henrique,2019/2020 - Grêmio,Brazilian Serie A,€,21,Gremio FBPA,Brazil,"23,16",CM,20,1766,1,20,"75,6",92%,1483,85%,425,,7
Matheus Henrique,2020/2021 - Grêmio,Brazilian Serie A,€,21,Gremio FBPA,Brazil,"23,16",CM,18,1556,1,23,"66,1",91%,1142,87%,288,"10,0%",10
Thiago Almada,2018/2019 - Vélez Sarsfield,Argentina Superliga,€,21,Vélez Sarsfield,Argentina,"19,80",AM,16,736,2,17,"40,4",86%,330,79%,145,"25,0%",12
Thiago Almada,2019/2020 - Vélez Sarsfield,Argentina Superliga,€,21,Vélez Sarsfield,Argentina,"19,80",AM,22,1198,,29,"48,6",82%,647,71%,222,"30,0%",30
Thiago Almada,2020/2021 - Vélez Sarsfield,Liga Profesional Argentina,€,21,Vélez Sarsfield,Argentina,"19,80",AM,5,269,0,5,"42,8",81%,128,67%,55,"37,5%",8
Felipe Anderson,2016/2017 - Lazio,Italian Serie A,€,20.1,FC Porto,Brazil,"27,83",LW,36,2919,9,75,"48,6",75%,1576,66%,771,"25,6%",129
Felipe Anderson,2017/2018 - Lazio,Italian Serie A,€,20.1,FC Porto,Brazil,"27,83",LW,21,1151,7,38,"46,5",77%,595,69%,331,"20,0%",45
Felipe Anderson,2017/2018 - Lazio,UEFA Europa League,€,20.1,FC Porto,Brazil,"27,83",LW,7,369,3,15,"48,0",79%,197,71%,109,"22,2%",18
Felipe Anderson,2018/2019 - West Ham United,English Premier League,€,20.1,FC Porto,Brazil,"27,83",LW,36,3051,4,65,"49,1",76%,1666,69%,734,"23,8%",80
Felipe Anderson,2019/2020 - West Ham United,English Premier League,€,20.1,FC Porto,Brazil,"27,83",LW,25,1505,4,25,"53,5",79%,895,71%,399,"20,0%",30
Felipe Anderson,2020/2021 - FC Porto,Portuguese Primeira Liga,€,20.1,FC Porto,Brazil,"27,83",LW,2,49,0,1,"31,2",82%,17,40%,5,"0,0%",1
Felipe Anderson,2020/2021 - FC Porto,UEFA Champions League,€,20.1,FC Porto,Brazil,"27,83",LW,1,63,0,2,"25,7",89%,18,83%,6,,0
Felipe Anderson,2020/2021 - West Ham United,English Premier League,€,20.1,FC Porto,Brazil,"27,83",LW,2,2,0,0,"225,0",60%,5,33%,3,,0
Pedrinho,2017/2018 - Corinthians,Brazilian Serie A,€,20.1,SL Benfica,Brazil,"22,84",RW,12,207,,6,"57,0",75%,131,60%,50,"42,9%",7
Pedrinho,2018/2019 - Corinthians,Brazilian Serie A,€,20.1,SL Benfica,Brazil,"22,84",RW,35,2397,2,29,"41,3",77%,1099,72%,527,"16,4%",55
Pedrinho,2019/2020 - Corinthians,Brazilian Serie A,€,20.1,SL Benfica,Brazil,"22,84",RW,28,2181,4,56,"41,8",83%,1012,80%,575,"25,7%",70
